net,length_um
stage8_inst.stage4_lower.stage2_pair1.butterfly_inst.add_inst.b\[1\],158.52
_06673_,158.125
stage8_inst.in0\[11\],157.62
net173,157.58
_06812_,156.92
net262,156.88
stage8_inst.stage4_lower.stage2_pair1.butterfly_inst.add_inst.b\[6\],156.86
_07540_,156.27
_04876_,156.24
_08823_,156.24
net160,156.21
_10385_,156.15
stage8_inst.in6\[6\],156.14
net370,156.05
_05397_,155.98
stage8_inst.stage4_lower.stage2_pair1.butterfly_inst.mul_inst.acc_low\[30\],155.66
_08315_,155.5
_11715_,155.5
_06842_,155.48
stage8_inst.in0\[31\],155.46
stage8_inst.stage4_lower.stage2_pair0.butterfly_inst.add_inst.b\[22\],155.46
stage8_inst.stage4_lower.stage2_pair1.butterfly_inst.mul_inst.acc_low\[16\],155.45
stage8_inst.in4\[4\],155.28
_04677_,155.08
net271,154.8
net312,154.76
_08361_,154.38
net390,154.3
_04176_,154.275
net396,154.08
_08645_,154.06
_03060_,153.91
stage8_inst.stage4_upper.stage2_pair1.butterfly_inst.add_inst.b\[3\],153.78
stage8_inst.stage4_upper.stage2_pair0.butterfly_inst.mul_inst.acc_low\[1\],153.58
_03455_,153.555
_10856_,153.52
net365,153.47
net246,153.45
_06648_,153.36
_08896_,153.25
net291,153.18
_10469_,152.83
_06820_,152.77
net201,152.71
stage8_inst.stage4_upper.stage2_pair0.butterfly_inst.add_inst.b\[26\],152.6
_02824_,152.49
_06864_,151.96
_06136_,151.92
net316,151.89
_08327_,151.36
net267,151.19
net448,151.16
stage8_inst.stage4_lower.stage2_pair1.butterfly_inst.add_inst.b\[4\],151.06
stage8_inst.in6\[4\],151.02
_07956_,150.805
_03972_,150.72
_04612_,150.54
_11718_,150.49
net225,150.23
_08808_,150.12
stage8_inst.stage4_lower.stage2_pair1.butterfly_inst.mul_inst.acc_low\[27\],150.08
_09892_,149.9
_08717_,149.86
_07734_,149.84
stage8_inst.in2\[29\],149.64
_10993_,149.6
_08934_,149.54
_05625_,149.5
_05039_,149.47
net382,149.26
net115,149.22
stage8_inst.stage4_upper.stage2_pair0.butterfly_inst.add_inst.b\[1\],149.02
_08845_,149
_10063_,148.98
stage8_inst.stage4_lower.stage2_pair0.butterfly_inst.mul_inst.acc_low\[3\],148.88
stage8_inst.stage4_lower.stage2_pair1.butterfly_inst.add_inst.b\[25\],148.5
net297,148.4
stage8_inst.stage4_upper.stage2_pair1.butterfly_inst.add_inst.a\[16\],148.34
